time,state,action,new_state,cost,new_state_val,total_cost
14,"[0, 0, 0]","[(10, 0), (10, 0), (10, 0)]","[10, 10, 10]",7991.431286787401,0.0,7991.431286787401
14,"[0, 0, 0]","[(5, 0), (10, 0), (10, 0)]","[5, 10, 10]",7863.692738989501,0.0,7863.692738989501
14,"[0, 0, 0]","[(0, 1), (10, 0), (10, 0)]","[-10, 10, 10]",4267.954191191601,Inf,Inf
14,"[0, 0, 0]","[(10, 0), (5, 0), (10, 0)]","[10, 5, 10]",7863.692738989501,0.0,7863.692738989501
14,"[0, 0, 0]","[(5, 0), (5, 0), (10, 0)]","[5, 5, 10]",7735.9541911916,0.0,7735.9541911916
14,"[0, 0, 0]","[(0, 1), (5, 0), (10, 0)]","[-10, 5, 10]",4140.215643393701,Inf,Inf
14,"[0, 0, 0]","[(10, 0), (0, 1), (10, 0)]","[10, -5, 10]",6001.954191191601,Inf,Inf
14,"[0, 0, 0]","[(5, 0), (0, 1), (10, 0)]","[5, -5, 10]",5874.215643393701,Inf,Inf
14,"[0, 0, 0]","[(0, 1), (0, 1), (10, 0)]","[-10, -5, 10]",2278.4770955958006,Inf,Inf
14,"[0, 0, 0]","[(10, 0), (10, 0), (5, 0)]","[10, 10, 5]",7863.692738989501,0.0,7863.692738989501
14,"[0, 0, 0]","[(5, 0), (10, 0), (5, 0)]","[5, 10, 5]",7735.9541911916,0.0,7735.9541911916
14,"[0, 0, 0]","[(0, 1), (10, 0), (5, 0)]","[-10, 10, 5]",4140.215643393701,Inf,Inf
14,"[0, 0, 0]","[(10, 0), (5, 0), (5, 0)]","[10, 5, 5]",7735.9541911916,0.0,7735.9541911916
14,"[0, 0, 0]","[(5, 0), (5, 0), (5, 0)]","[5, 5, 5]",7608.2156433937,0.0,7608.2156433937
14,"[0, 0, 0]","[(0, 1), (5, 0), (5, 0)]","[-10, 5, 5]",4012.4770955958,Inf,Inf
14,"[0, 0, 0]","[(10, 0), (0, 1), (5, 0)]","[10, -5, 5]",5874.215643393701,Inf,Inf
14,"[0, 0, 0]","[(5, 0), (0, 1), (5, 0)]","[5, -5, 5]",5746.4770955958,Inf,Inf
14,"[0, 0, 0]","[(0, 1), (0, 1), (5, 0)]","[-10, -5, 5]",2150.7385477979,Inf,Inf
14,"[0, 0, 0]","[(10, 0), (10, 0), (0, 1)]","[10, 10, -10]",4267.954191191601,Inf,Inf
14,"[0, 0, 0]","[(5, 0), (10, 0), (0, 1)]","[5, 10, -10]",4140.215643393701,Inf,Inf
14,"[0, 0, 0]","[(0, 1), (10, 0), (0, 1)]","[-10, 10, -10]",544.4770955958008,Inf,Inf
14,"[0, 0, 0]","[(10, 0), (5, 0), (0, 1)]","[10, 5, -10]",4140.215643393701,Inf,Inf
14,"[0, 0, 0]","[(5, 0), (5, 0), (0, 1)]","[5, 5, -10]",4012.4770955958,Inf,Inf
