time,state,action,new_state,cost,new_state_val,total_cost
10,"[0, 0, 0]","[(10, 0), (10, 0), (10, 0)]","[10.0, 10.0, 10.0]",216757.13832863665,0.0,216757.13832863665
10,"[0, 0, 0]","[(5, 0), (10, 0), (10, 0)]","[5.0, 10.0, 10.0]",216755.9486071972,0.0,216755.9486071972
10,"[0, 0, 0]","[(0, 1), (10, 0), (10, 0)]","[-5.0, 10.0, 10.0]",130054.75888575776,Inf,Inf
10,"[0, 0, 0]","[(0, 0), (10, 0), (10, 0)]","[0.0, 10.0, 10.0]",216754.75888575776,0.0,216754.75888575776
10,"[0, 0, 0]","[(10, 0), (5, 0), (10, 0)]","[10.0, 5.0, 10.0]",216755.9486071972,0.0,216755.9486071972
10,"[0, 0, 0]","[(5, 0), (5, 0), (10, 0)]","[5.0, 5.0, 10.0]",216754.75888575776,0.0,216754.75888575776
10,"[0, 0, 0]","[(0, 1), (5, 0), (10, 0)]","[-5.0, 5.0, 10.0]",130053.56916431832,Inf,Inf
10,"[0, 0, 0]","[(0, 0), (5, 0), (10, 0)]","[0.0, 5.0, 10.0]",216753.56916431832,0.0,216753.56916431832
10,"[0, 0, 0]","[(10, 0), (0, 1), (10, 0)]","[10.0, 0.0, 10.0]",216754.75888575776,0.0,216754.75888575776
10,"[0, 0, 0]","[(5, 0), (0, 1), (10, 0)]","[5.0, 0.0, 10.0]",216753.56916431832,0.0,216753.56916431832
10,"[0, 0, 0]","[(0, 1), (0, 1), (10, 0)]","[-5.0, 0.0, 10.0]",130052.37944287888,Inf,Inf
10,"[0, 0, 0]","[(0, 0), (0, 1), (10, 0)]","[0.0, 0.0, 10.0]",216752.37944287888,0.0,216752.37944287888
10,"[0, 0, 0]","[(10, 0), (0, 0), (10, 0)]","[10.0, 0.0, 10.0]",216754.75888575776,0.0,216754.75888575776
10,"[0, 0, 0]","[(5, 0), (0, 0), (10, 0)]","[5.0, 0.0, 10.0]",216753.56916431832,0.0,216753.56916431832
10,"[0, 0, 0]","[(0, 1), (0, 0), (10, 0)]","[-5.0, 0.0, 10.0]",130052.37944287888,Inf,Inf
10,"[0, 0, 0]","[(0, 0), (0, 0), (10, 0)]","[0.0, 0.0, 10.0]",216752.37944287888,0.0,216752.37944287888
10,"[0, 0, 0]","[(10, 0), (10, 0), (5, 0)]","[10.0, 10.0, 5.0]",216755.9486071972,0.0,216755.9486071972
10,"[0, 0, 0]","[(5, 0), (10, 0), (5, 0)]","[5.0, 10.0, 5.0]",216754.75888575776,0.0,216754.75888575776
10,"[0, 0, 0]","[(0, 1), (10, 0), (5, 0)]","[-5.0, 10.0, 5.0]",130053.56916431832,Inf,Inf
10,"[0, 0, 0]","[(0, 0), (10, 0), (5, 0)]","[0.0, 10.0, 5.0]",216753.56916431832,0.0,216753.56916431832
10,"[0, 0, 0]","[(10, 0), (5, 0), (5, 0)]","[10.0, 5.0, 5.0]",216754.75888575776,0.0,216754.75888575776
