time,state,action,new_state,cost,new_state_cost,total_cost
19,"[0, 0, 0]","[(10, 0), (10, 0), (10, 0)]","[10, 10, 10]",502.6683090401,0.0,502.6683090401
19,"[0, 0, 0]","[(5, 0), (10, 0), (10, 0)]","[5, 10, 10]",502.22359086675,0.0,502.22359086675
19,"[0, 0, 0]","[(0, 1), (10, 0), (10, 0)]","[-5, 10, 10]",-98.22112730660001,Inf,Inf
19,"[0, 0, 0]","[(10, 0), (5, 0), (10, 0)]","[10, 5, 10]",502.22359086675,0.0,502.22359086675
19,"[0, 0, 0]","[(5, 0), (5, 0), (10, 0)]","[5, 5, 10]",501.7788726934,0.0,501.7788726934
19,"[0, 0, 0]","[(0, 1), (5, 0), (10, 0)]","[-5, 5, 10]",-98.66584547995001,Inf,Inf
19,"[0, 0, 0]","[(10, 0), (0, 1), (10, 0)]","[10, 0, 10]",501.7788726934,0.0,501.7788726934
19,"[0, 0, 0]","[(5, 0), (0, 1), (10, 0)]","[5, 0, 10]",501.33415452005,0.0,501.33415452005
19,"[0, 0, 0]","[(0, 1), (0, 1), (10, 0)]","[-5, 0, 10]",-99.1105636533,Inf,Inf
19,"[0, 0, 0]","[(10, 0), (10, 0), (5, 0)]","[10, 10, 5]",502.22359086675,0.0,502.22359086675
19,"[0, 0, 0]","[(5, 0), (10, 0), (5, 0)]","[5, 10, 5]",501.7788726934,0.0,501.7788726934
19,"[0, 0, 0]","[(0, 1), (10, 0), (5, 0)]","[-5, 10, 5]",-98.66584547995001,Inf,Inf
19,"[0, 0, 0]","[(10, 0), (5, 0), (5, 0)]","[10, 5, 5]",501.7788726934,0.0,501.7788726934
19,"[0, 0, 0]","[(5, 0), (5, 0), (5, 0)]","[5, 5, 5]",501.33415452005,0.0,501.33415452005
19,"[0, 0, 0]","[(0, 1), (5, 0), (5, 0)]","[-5, 5, 5]",-99.1105636533,Inf,Inf
19,"[0, 0, 0]","[(10, 0), (0, 1), (5, 0)]","[10, 0, 5]",501.33415452005,0.0,501.33415452005
19,"[0, 0, 0]","[(5, 0), (0, 1), (5, 0)]","[5, 0, 5]",500.8894363467,0.0,500.8894363467
19,"[0, 0, 0]","[(0, 1), (0, 1), (5, 0)]","[-5, 0, 5]",-99.55528182665,Inf,Inf
19,"[0, 0, 0]","[(10, 0), (10, 0), (0, 1)]","[10, 10, 0]",501.7788726934,0.0,501.7788726934
19,"[0, 0, 0]","[(5, 0), (10, 0), (0, 1)]","[5, 10, 0]",501.33415452005,0.0,501.33415452005
19,"[0, 0, 0]","[(0, 1), (10, 0), (0, 1)]","[-5, 10, 0]",-99.1105636533,Inf,Inf
19,"[0, 0, 0]","[(10, 0), (5, 0), (0, 1)]","[10, 5, 0]",501.33415452005,0.0,501.33415452005
19,"[0, 0, 0]","[(5, 0), (5, 0), (0, 1)]","[5, 5, 0]",500.8894363467,0.0,500.8894363467
19,"[0, 0, 0]","[(0, 1), (5, 0), (0, 1)]","[-5, 5, 0]",-99.55528182665,Inf,Inf
19,"[0, 0, 0]","[(10, 0), (0, 1), (0, 1)]","[10, 0, 0]",500.8894363467,0.0,500.8894363467
19,"[0, 0, 0]","[(5, 0), (0, 1), (0, 1)]","[5, 0, 0]",500.44471817335,0.0,500.44471817335
19,"[0, 0, 0]","[(0, 1), (0, 1), (0, 1)]","[-5, 0, 0]",-100.0,Inf,Inf
19,"[0, 0, 5]","[(10, 0), (10, 0), (10, 0)]","[10, 10, 15]",502.6683090401,0.0,502.6683090401
19,"[0, 0, 5]","[(5, 0), (10, 0), (10, 0)]","[5, 10, 15]",502.22359086675,0.0,502.22359086675
19,"[0, 0, 5]","[(0, 1), (10, 0), (10, 0)]","[-5, 10, 15]",-98.22112730660001,Inf,Inf
19,"[0, 0, 5]","[(10, 0), (5, 0), (10, 0)]","[10, 5, 15]",502.22359086675,0.0,502.22359086675
19,"[0, 0, 5]","[(5, 0), (5, 0), (10, 0)]","[5, 5, 15]",501.7788726934,0.0,501.7788726934
19,"[0, 0, 5]","[(0, 1), (5, 0), (10, 0)]","[-5, 5, 15]",-98.66584547995001,Inf,Inf
19,"[0, 0, 5]","[(10, 0), (0, 1), (10, 0)]","[10, 0, 15]",501.7788726934,0.0,501.7788726934
19,"[0, 0, 5]","[(5, 0), (0, 1), (10, 0)]","[5, 0, 15]",501.33415452005,0.0,501.33415452005
19,"[0, 0, 5]","[(0, 1), (0, 1), (10, 0)]","[-5, 0, 15]",-99.1105636533,Inf,Inf
19,"[0, 0, 5]","[(10, 0), (10, 0), (5, 0)]","[10, 10, 10]",502.22359086675,0.0,502.22359086675
19,"[0, 0, 5]","[(5, 0), (10, 0), (5, 0)]","[5, 10, 10]",501.7788726934,0.0,501.7788726934
19,"[0, 0, 5]","[(0, 1), (10, 0), (5, 0)]","[-5, 10, 10]",-98.66584547995001,Inf,Inf
19,"[0, 0, 5]","[(10, 0), (5, 0), (5, 0)]","[10, 5, 10]",501.7788726934,0.0,501.7788726934
