time,state,action,new_state,cost,new_state_val,total_cost
18,"[0, 0, 0]","[(10, 0), (10, 0), (10, 0)]","[10, 10, 10]",1504.9337841070449,-289.0,1215.9337841070449
18,"[0, 0, 0]","[(5, 0), (10, 0), (10, 0)]","[5, 10, 10]",1494.944820089204,-289.0,1205.944820089204
18,"[0, 0, 0]","[(0, 0), (10, 0), (10, 0)]","[0, 10, 10]",1484.9558560713633,1445.0,2929.955856071363
18,"[0, 0, 0]","[(0, 1), (10, 0), (10, 0)]","[0, 10, 10]",1484.9558560713633,1445.0,2929.955856071363
18,"[0, 0, 0]","[(10, 0), (5, 0), (10, 0)]","[10, 5, 10]",1494.944820089204,-289.0,1205.944820089204
18,"[0, 0, 0]","[(5, 0), (5, 0), (10, 0)]","[5, 5, 10]",1484.9558560713633,-289.0,1195.9558560713633
18,"[0, 0, 0]","[(0, 0), (5, 0), (10, 0)]","[0, 5, 10]",1474.9668920535225,1445.0,2919.9668920535223
18,"[0, 0, 0]","[(0, 1), (5, 0), (10, 0)]","[0, 5, 10]",1474.9668920535225,1445.0,2919.9668920535223
18,"[0, 0, 0]","[(10, 0), (0, 0), (10, 0)]","[10, 0, 10]",1484.9558560713633,-289.0,1195.9558560713633
18,"[0, 0, 0]","[(5, 0), (0, 0), (10, 0)]","[5, 0, 10]",1474.9668920535225,-289.0,1185.9668920535225
18,"[0, 0, 0]","[(0, 0), (0, 0), (10, 0)]","[0, 0, 10]",1464.9779280356818,1445.0,2909.9779280356815
18,"[0, 0, 0]","[(0, 1), (0, 0), (10, 0)]","[0, 0, 10]",1464.9779280356818,1445.0,2909.9779280356815
18,"[0, 0, 0]","[(10, 0), (0, 1), (10, 0)]","[10, 0, 10]",1484.9558560713633,-289.0,1195.9558560713633
18,"[0, 0, 0]","[(5, 0), (0, 1), (10, 0)]","[5, 0, 10]",1474.9668920535225,-289.0,1185.9668920535225
18,"[0, 0, 0]","[(0, 0), (0, 1), (10, 0)]","[0, 0, 10]",1464.9779280356818,1445.0,2909.9779280356815
18,"[0, 0, 0]","[(0, 1), (0, 1), (10, 0)]","[0, 0, 10]",1464.9779280356818,1445.0,2909.9779280356815
18,"[0, 0, 0]","[(10, 0), (10, 0), (5, 0)]","[10, 10, 5]",1494.9448200892039,-289.0,1205.9448200892039
18,"[0, 0, 0]","[(5, 0), (10, 0), (5, 0)]","[5, 10, 5]",1484.955856071363,-289.0,1195.955856071363
18,"[0, 0, 0]","[(0, 0), (10, 0), (5, 0)]","[0, 10, 5]",1474.9668920535223,1445.0,2919.9668920535223
18,"[0, 0, 0]","[(0, 1), (10, 0), (5, 0)]","[0, 10, 5]",1474.9668920535223,1445.0,2919.9668920535223
18,"[0, 0, 0]","[(10, 0), (5, 0), (5, 0)]","[10, 5, 5]",1484.955856071363,-289.0,1195.955856071363
18,"[0, 0, 0]","[(5, 0), (5, 0), (5, 0)]","[5, 5, 5]",1474.9668920535223,-289.0,1185.9668920535223
18,"[0, 0, 0]","[(0, 0), (5, 0), (5, 0)]","[0, 5, 5]",1464.9779280356815,1445.0,2909.9779280356815
18,"[0, 0, 0]","[(0, 1), (5, 0), (5, 0)]","[0, 5, 5]",1464.9779280356815,1445.0,2909.9779280356815
18,"[0, 0, 0]","[(10, 0), (0, 0), (5, 0)]","[10, 0, 5]",1474.9668920535223,-289.0,1185.9668920535223
18,"[0, 0, 0]","[(5, 0), (0, 0), (5, 0)]","[5, 0, 5]",1464.9779280356815,-289.0,1175.9779280356815
18,"[0, 0, 0]","[(0, 0), (0, 0), (5, 0)]","[0, 0, 5]",1454.9889640178408,1445.0,2899.9889640178408
18,"[0, 0, 0]","[(0, 1), (0, 0), (5, 0)]","[0, 0, 5]",1454.9889640178408,1445.0,2899.9889640178408
18,"[0, 0, 0]","[(10, 0), (0, 1), (5, 0)]","[10, 0, 5]",1474.9668920535223,-289.0,1185.9668920535223
18,"[0, 0, 0]","[(5, 0), (0, 1), (5, 0)]","[5, 0, 5]",1464.9779280356815,-289.0,1175.9779280356815
18,"[0, 0, 0]","[(0, 0), (0, 1), (5, 0)]","[0, 0, 5]",1454.9889640178408,1445.0,2899.9889640178408
18,"[0, 0, 0]","[(0, 1), (0, 1), (5, 0)]","[0, 0, 5]",1454.9889640178408,1445.0,2899.9889640178408
18,"[0, 0, 0]","[(10, 0), (10, 0), (0, 0)]","[10, 10, 0]",1484.955856071363,-289.0,1195.955856071363
18,"[0, 0, 0]","[(5, 0), (10, 0), (0, 0)]","[5, 10, 0]",1474.9668920535223,-289.0,1185.9668920535223
18,"[0, 0, 0]","[(0, 0), (10, 0), (0, 0)]","[0, 10, 0]",1464.9779280356815,1445.0,2909.9779280356815
18,"[0, 0, 0]","[(0, 1), (10, 0), (0, 0)]","[0, 10, 0]",1464.9779280356815,1445.0,2909.9779280356815
18,"[0, 0, 0]","[(10, 0), (5, 0), (0, 0)]","[10, 5, 0]",1474.9668920535223,-289.0,1185.9668920535223
18,"[0, 0, 0]","[(5, 0), (5, 0), (0, 0)]","[5, 5, 0]",1464.9779280356815,-289.0,1175.9779280356815
18,"[0, 0, 0]","[(0, 0), (5, 0), (0, 0)]","[0, 5, 0]",1454.9889640178408,1445.0,2899.9889640178408
18,"[0, 0, 0]","[(0, 1), (5, 0), (0, 0)]","[0, 5, 0]",1454.9889640178408,1445.0,2899.9889640178408
18,"[0, 0, 0]","[(10, 0), (0, 0), (0, 0)]","[10, 0, 0]",1464.9779280356815,-289.0,1175.9779280356815
18,"[0, 0, 0]","[(5, 0), (0, 0), (0, 0)]","[5, 0, 0]",1454.9889640178408,-289.0,1165.9889640178408
18,"[0, 0, 0]","[(0, 0), (0, 0), (0, 0)]","[0, 0, 0]",1445.0,1445.0,2890.0
18,"[0, 0, 0]","[(0, 1), (0, 0), (0, 0)]","[0, 0, 0]",1445.0,1445.0,2890.0
18,"[0, 0, 0]","[(10, 0), (0, 1), (0, 0)]","[10, 0, 0]",1464.9779280356815,-289.0,1175.9779280356815
18,"[0, 0, 0]","[(5, 0), (0, 1), (0, 0)]","[5, 0, 0]",1454.9889640178408,-289.0,1165.9889640178408
18,"[0, 0, 0]","[(0, 0), (0, 1), (0, 0)]","[0, 0, 0]",1445.0,1445.0,2890.0
18,"[0, 0, 0]","[(0, 1), (0, 1), (0, 0)]","[0, 0, 0]",1445.0,1445.0,2890.0
18,"[0, 0, 0]","[(10, 0), (10, 0), (0, 1)]","[10, 10, -5]",-249.04414392863686,Inf,Inf
18,"[0, 0, 0]","[(5, 0), (10, 0), (0, 1)]","[5, 10, -5]",-259.0331079464776,Inf,Inf
18,"[0, 0, 0]","[(0, 0), (10, 0), (0, 1)]","[0, 10, -5]",-269.0220719643184,Inf,Inf
18,"[0, 0, 0]","[(0, 1), (10, 0), (0, 1)]","[0, 10, -5]",-269.0220719643184,Inf,Inf
18,"[0, 0, 0]","[(10, 0), (5, 0), (0, 1)]","[10, 5, -5]",-259.0331079464776,Inf,Inf
