time,state,action,new_state,total_cost
10,"[0, 0, 0]","[(5, 0), (0, 1), (5, 0)]","[5, 0, 5]",4337.379442878877
10,"[0, 0, 5]","[(5, 0), (0, 1), (5, 0)]","[5, 0, 10]",4337.379442878877
10,"[0, 0, 10]","[(5, 0), (0, 1), (0, 1)]","[5, 0, 0]",868.1897214394385
10,"[0, 0, 15]","[(5, 0), (0, 1), (0, 1)]","[5, 0, 5]",868.1897214394385
10,"[0, 0, 20]","[(5, 0), (0, 1), (0, 1)]","[5, 0, 10]",868.1897214394385
10,"[0, 5, 0]","[(5, 0), (0, 1), (5, 0)]","[5, 5, 5]",4337.379442878877
10,"[0, 5, 5]","[(5, 0), (0, 1), (5, 0)]","[5, 5, 10]",4337.379442878877
10,"[0, 5, 10]","[(5, 0), (0, 1), (0, 1)]","[5, 5, 0]",868.1897214394385
10,"[0, 5, 15]","[(5, 0), (0, 1), (0, 1)]","[5, 5, 5]",868.1897214394385
10,"[0, 5, 20]","[(5, 0), (0, 1), (0, 1)]","[5, 5, 10]",868.1897214394385
10,"[0, 10, 0]","[(5, 0), (0, 1), (5, 0)]","[5, 10, 5]",4337.379442878877
10,"[0, 10, 5]","[(5, 0), (0, 1), (5, 0)]","[5, 10, 10]",4337.379442878877
10,"[0, 10, 10]","[(5, 0), (0, 1), (0, 1)]","[5, 10, 0]",868.1897214394385
10,"[0, 10, 15]","[(5, 0), (0, 1), (0, 1)]","[5, 10, 5]",868.1897214394385
10,"[0, 10, 20]","[(5, 0), (0, 1), (0, 1)]","[5, 10, 10]",868.1897214394385
10,"[0, 15, 0]","[(5, 0), (0, 1), (5, 0)]","[5, 15, 5]",4337.379442878877
10,"[0, 15, 5]","[(5, 0), (0, 1), (5, 0)]","[5, 15, 10]",4337.379442878877
10,"[0, 15, 10]","[(5, 0), (0, 1), (0, 1)]","[5, 15, 0]",868.1897214394385
10,"[0, 15, 15]","[(5, 0), (0, 1), (0, 1)]","[5, 15, 5]",868.1897214394385
10,"[0, 15, 20]","[(5, 0), (0, 1), (0, 1)]","[5, 15, 10]",868.1897214394385
10,"[0, 20, 0]","[(5, 0), (0, 1), (5, 0)]","[5, 20, 5]",4337.379442878877
10,"[0, 20, 5]","[(5, 0), (0, 1), (5, 0)]","[5, 20, 10]",4337.379442878877
10,"[0, 20, 10]","[(5, 0), (0, 1), (0, 1)]","[5, 20, 0]",868.1897214394385
10,"[0, 20, 15]","[(5, 0), (0, 1), (0, 1)]","[5, 20, 5]",868.1897214394385
10,"[0, 20, 20]","[(5, 0), (0, 1), (0, 1)]","[5, 20, 10]",868.1897214394385
10,"[5, 0, 0]","[(0, 1), (0, 1), (5, 0)]","[0, 0, 5]",2602.1897214394385
10,"[5, 0, 5]","[(0, 1), (0, 1), (5, 0)]","[0, 0, 10]",2602.1897214394385
10,"[5, 0, 10]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 0]",-867.0
10,"[5, 0, 15]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 5]",-867.0
10,"[5, 0, 20]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 10]",-867.0
10,"[5, 5, 0]","[(0, 1), (0, 1), (5, 0)]","[0, 5, 5]",2602.1897214394385
10,"[5, 5, 5]","[(0, 1), (0, 1), (5, 0)]","[0, 5, 10]",2602.1897214394385
10,"[5, 5, 10]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 0]",-867.0
10,"[5, 5, 15]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 5]",-867.0
10,"[5, 5, 20]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 10]",-867.0
10,"[5, 10, 0]","[(0, 1), (0, 1), (5, 0)]","[0, 10, 5]",2602.1897214394385
10,"[5, 10, 5]","[(0, 1), (0, 1), (5, 0)]","[0, 10, 10]",2602.1897214394385
10,"[5, 10, 10]","[(0, 1), (0, 1), (0, 1)]","[0, 10, 0]",-867.0
10,"[5, 10, 15]","[(0, 1), (0, 1), (0, 1)]","[0, 10, 5]",-867.0
10,"[5, 10, 20]","[(0, 1), (0, 1), (0, 1)]","[0, 10, 10]",-867.0
10,"[5, 15, 0]","[(0, 1), (0, 1), (5, 0)]","[0, 15, 5]",2602.1897214394385
10,"[5, 15, 5]","[(0, 1), (0, 1), (5, 0)]","[0, 15, 10]",2602.1897214394385
10,"[5, 15, 10]","[(0, 1), (0, 1), (0, 1)]","[0, 15, 0]",-867.0
10,"[5, 15, 15]","[(0, 1), (0, 1), (0, 1)]","[0, 15, 5]",-867.0
10,"[5, 15, 20]","[(0, 1), (0, 1), (0, 1)]","[0, 15, 10]",-867.0
10,"[5, 20, 0]","[(0, 1), (0, 1), (5, 0)]","[0, 20, 5]",2602.1897214394385
10,"[5, 20, 5]","[(0, 1), (0, 1), (5, 0)]","[0, 20, 10]",2602.1897214394385
