time,state,action,new_state,cost,new_state_cost,total_cost
15,"[10, 0, 20]","[(0, 1), (0, 1), (0, 1)]","[5, 0, 20]",-100.0,0.0,-100.0
15,"[10, 5, 0]","[(0, 1), (0, 1), (0, 1)]","[5, 5, 0]",-100.0,0.0,-100.0
15,"[10, 5, 5]","[(0, 1), (0, 1), (0, 1)]","[5, 5, 5]",-100.0,0.0,-100.0
15,"[10, 5, 10]","[(0, 1), (0, 1), (0, 1)]","[5, 5, 10]",-100.0,0.0,-100.0
15,"[10, 5, 15]","[(0, 1), (0, 1), (0, 1)]","[5, 5, 15]",-100.0,0.0,-100.0
15,"[10, 5, 20]","[(0, 1), (0, 1), (0, 1)]","[5, 5, 20]",-100.0,0.0,-100.0
15,"[10, 10, 0]","[(0, 1), (0, 1), (0, 1)]","[5, 10, 0]",-100.0,0.0,-100.0
15,"[10, 10, 5]","[(0, 1), (0, 1), (0, 1)]","[5, 10, 5]",-100.0,0.0,-100.0
15,"[10, 10, 10]","[(0, 1), (0, 1), (0, 1)]","[5, 10, 10]",-100.0,0.0,-100.0
15,"[10, 10, 15]","[(0, 1), (0, 1), (0, 1)]","[5, 10, 15]",-100.0,0.0,-100.0
15,"[10, 10, 20]","[(0, 1), (0, 1), (0, 1)]","[5, 10, 20]",-100.0,0.0,-100.0
15,"[10, 15, 0]","[(0, 1), (0, 1), (0, 1)]","[5, 15, 0]",-100.0,0.0,-100.0
15,"[10, 15, 5]","[(0, 1), (0, 1), (0, 1)]","[5, 15, 5]",-100.0,0.0,-100.0
15,"[10, 15, 10]","[(0, 1), (0, 1), (0, 1)]","[5, 15, 10]",-100.0,0.0,-100.0
15,"[10, 15, 15]","[(0, 1), (0, 1), (0, 1)]","[5, 15, 15]",-100.0,0.0,-100.0
15,"[10, 15, 20]","[(0, 1), (0, 1), (0, 1)]","[5, 15, 20]",-100.0,0.0,-100.0
15,"[10, 20, 0]","[(0, 1), (0, 1), (0, 1)]","[5, 20, 0]",-100.0,0.0,-100.0
