time,state,action,new_state,cost,new_state_cost,total_cost
18,"[0, 0, 15]","[(0, 1), (0, 1), (10, 0)]","[0, 0, 25]",506.912777867,Inf,Inf
18,"[0, 0, 15]","[(10, 0), (10, 0), (5, 0)]","[10, 10, 20]",517.2819446675,-100.0,417.28194466750006
18,"[0, 0, 15]","[(5, 0), (10, 0), (5, 0)]","[5, 10, 20]",513.825555734,-100.0,413.825555734
18,"[0, 0, 15]","[(0, 1), (10, 0), (5, 0)]","[0, 10, 20]",510.3691668005,-100.0,410.3691668005
18,"[0, 0, 15]","[(10, 0), (5, 0), (5, 0)]","[10, 5, 20]",513.825555734,-100.0,413.825555734
18,"[0, 0, 15]","[(5, 0), (5, 0), (5, 0)]","[5, 5, 20]",510.3691668005,-100.0,410.3691668005
18,"[0, 0, 15]","[(0, 1), (5, 0), (5, 0)]","[0, 5, 20]",506.91277786700005,-100.0,406.91277786700005
18,"[0, 0, 15]","[(10, 0), (0, 1), (5, 0)]","[10, 0, 20]",510.3691668005,-100.0,410.3691668005
18,"[0, 0, 15]","[(5, 0), (0, 1), (5, 0)]","[5, 0, 20]",506.91277786700005,-100.0,406.91277786700005
18,"[0, 0, 15]","[(0, 1), (0, 1), (5, 0)]","[0, 0, 20]",503.4563889335,-100.0,403.4563889335
18,"[0, 0, 15]","[(10, 0), (10, 0), (0, 1)]","[10, 10, 10]",-86.174444266,-100.0,-186.174444266
18,"[0, 0, 15]","[(5, 0), (10, 0), (0, 1)]","[5, 10, 10]",-89.6308331995,-100.0,-189.6308331995
18,"[0, 0, 15]","[(0, 1), (10, 0), (0, 1)]","[0, 10, 10]",-93.087222133,-100.0,-193.087222133
18,"[0, 0, 15]","[(10, 0), (5, 0), (0, 1)]","[10, 5, 10]",-89.6308331995,-100.0,-189.6308331995
18,"[0, 0, 15]","[(5, 0), (5, 0), (0, 1)]","[5, 5, 10]",-93.087222133,-100.0,-193.087222133
18,"[0, 0, 15]","[(0, 1), (5, 0), (0, 1)]","[0, 5, 10]",-96.5436110665,-100.0,-196.5436110665
18,"[0, 0, 15]","[(10, 0), (0, 1), (0, 1)]","[10, 0, 10]",-93.087222133,-100.0,-193.087222133
18,"[0, 0, 15]","[(5, 0), (0, 1), (0, 1)]","[5, 0, 10]",-96.5436110665,-100.0,-196.5436110665
18,"[0, 0, 15]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 10]",-100.0,-100.0,-200.0
18,"[0, 0, 20]","[(10, 0), (10, 0), (10, 0)]","[10, 10, 30]",520.738333601,Inf,Inf
18,"[0, 0, 20]","[(5, 0), (10, 0), (10, 0)]","[5, 10, 30]",517.2819446674999,Inf,Inf
18,"[0, 0, 20]","[(0, 1), (10, 0), (10, 0)]","[0, 10, 30]",513.825555734,Inf,Inf
18,"[0, 0, 20]","[(10, 0), (5, 0), (10, 0)]","[10, 5, 30]",517.2819446674999,Inf,Inf
18,"[0, 0, 20]","[(5, 0), (5, 0), (10, 0)]","[5, 5, 30]",513.825555734,Inf,Inf
18,"[0, 0, 20]","[(0, 1), (5, 0), (10, 0)]","[0, 5, 30]",510.3691668005,Inf,Inf
18,"[0, 0, 20]","[(10, 0), (0, 1), (10, 0)]","[10, 0, 30]",513.825555734,Inf,Inf
18,"[0, 0, 20]","[(5, 0), (0, 1), (10, 0)]","[5, 0, 30]",510.3691668005,Inf,Inf
18,"[0, 0, 20]","[(0, 1), (0, 1), (10, 0)]","[0, 0, 30]",506.912777867,Inf,Inf
18,"[0, 0, 20]","[(10, 0), (10, 0), (5, 0)]","[10, 10, 25]",517.2819446675,Inf,Inf
18,"[0, 0, 20]","[(5, 0), (10, 0), (5, 0)]","[5, 10, 25]",513.825555734,Inf,Inf
18,"[0, 0, 20]","[(0, 1), (10, 0), (5, 0)]","[0, 10, 25]",510.3691668005,Inf,Inf
18,"[0, 0, 20]","[(10, 0), (5, 0), (5, 0)]","[10, 5, 25]",513.825555734,Inf,Inf
18,"[0, 0, 20]","[(5, 0), (5, 0), (5, 0)]","[5, 5, 25]",510.3691668005,Inf,Inf
18,"[0, 0, 20]","[(0, 1), (5, 0), (5, 0)]","[0, 5, 25]",506.91277786700005,Inf,Inf
18,"[0, 0, 20]","[(10, 0), (0, 1), (5, 0)]","[10, 0, 25]",510.3691668005,Inf,Inf
18,"[0, 0, 20]","[(5, 0), (0, 1), (5, 0)]","[5, 0, 25]",506.91277786700005,Inf,Inf
18,"[0, 0, 20]","[(0, 1), (0, 1), (5, 0)]","[0, 0, 25]",503.4563889335,Inf,Inf
18,"[0, 0, 20]","[(10, 0), (10, 0), (0, 1)]","[10, 10, 15]",-86.174444266,-100.0,-186.174444266
18,"[0, 0, 20]","[(5, 0), (10, 0), (0, 1)]","[5, 10, 15]",-89.6308331995,-100.0,-189.6308331995
18,"[0, 0, 20]","[(0, 1), (10, 0), (0, 1)]","[0, 10, 15]",-93.087222133,-100.0,-193.087222133
18,"[0, 0, 20]","[(10, 0), (5, 0), (0, 1)]","[10, 5, 15]",-89.6308331995,-100.0,-189.6308331995
18,"[0, 0, 20]","[(5, 0), (5, 0), (0, 1)]","[5, 5, 15]",-93.087222133,-100.0,-193.087222133
18,"[0, 0, 20]","[(0, 1), (5, 0), (0, 1)]","[0, 5, 15]",-96.5436110665,-100.0,-196.5436110665
18,"[0, 0, 20]","[(10, 0), (0, 1), (0, 1)]","[10, 0, 15]",-93.087222133,-100.0,-193.087222133
18,"[0, 0, 20]","[(5, 0), (0, 1), (0, 1)]","[5, 0, 15]",-96.5436110665,-100.0,-196.5436110665
18,"[0, 0, 20]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 15]",-100.0,-100.0,-200.0
18,"[0, 5, 0]","[(10, 0), (10, 0), (10, 0)]","[10, 15, 10]",520.738333601,-100.0,420.738333601
18,"[0, 5, 0]","[(5, 0), (10, 0), (10, 0)]","[5, 15, 10]",517.2819446674999,-100.0,417.28194466749994
18,"[0, 5, 0]","[(0, 1), (10, 0), (10, 0)]","[0, 15, 10]",513.825555734,-100.0,413.825555734
18,"[0, 5, 0]","[(10, 0), (5, 0), (10, 0)]","[10, 10, 10]",517.2819446674999,-100.0,417.28194466749994
18,"[0, 5, 0]","[(5, 0), (5, 0), (10, 0)]","[5, 10, 10]",513.825555734,-100.0,413.825555734
18,"[0, 5, 0]","[(0, 1), (5, 0), (10, 0)]","[0, 10, 10]",510.3691668005,-100.0,410.3691668005
18,"[0, 5, 0]","[(10, 0), (0, 1), (10, 0)]","[10, 5, 10]",513.825555734,-100.0,413.825555734
18,"[0, 5, 0]","[(5, 0), (0, 1), (10, 0)]","[5, 5, 10]",510.3691668005,-100.0,410.3691668005
18,"[0, 5, 0]","[(0, 1), (0, 1), (10, 0)]","[0, 5, 10]",506.912777867,-100.0,406.912777867
18,"[0, 5, 0]","[(10, 0), (10, 0), (5, 0)]","[10, 15, 5]",517.2819446675,-100.0,417.28194466750006
18,"[0, 5, 0]","[(5, 0), (10, 0), (5, 0)]","[5, 15, 5]",513.825555734,-100.0,413.825555734
18,"[0, 5, 0]","[(0, 1), (10, 0), (5, 0)]","[0, 15, 5]",510.3691668005,-100.0,410.3691668005
18,"[0, 5, 0]","[(10, 0), (5, 0), (5, 0)]","[10, 10, 5]",513.825555734,-100.0,413.825555734
18,"[0, 5, 0]","[(5, 0), (5, 0), (5, 0)]","[5, 10, 5]",510.3691668005,-100.0,410.3691668005
18,"[0, 5, 0]","[(0, 1), (5, 0), (5, 0)]","[0, 10, 5]",506.91277786700005,-100.0,406.91277786700005
18,"[0, 5, 0]","[(10, 0), (0, 1), (5, 0)]","[10, 5, 5]",510.3691668005,-100.0,410.3691668005
18,"[0, 5, 0]","[(5, 0), (0, 1), (5, 0)]","[5, 5, 5]",506.91277786700005,-100.0,406.91277786700005
