time,state,action,new_state,cost,new_state_cost,total_cost
8,"[0, 0, 0]","[(10, 0), (10, 0), (10, 0)]","[10, 10, 10]",1001.5092727653999,0.0,1001.5092727653999
8,"[0, 0, 0]","[(5, 0), (10, 0), (10, 0)]","[5, 10, 10]",1001.2577273045,0.0,1001.2577273045
8,"[0, 0, 0]","[(0, 1), (10, 0), (10, 0)]","[0, 10, 10]",1001.0061818436,0.0,1001.0061818436
8,"[0, 0, 0]","[(10, 0), (5, 0), (10, 0)]","[10, 5, 10]",1001.2577273045,0.0,1001.2577273045
8,"[0, 0, 0]","[(5, 0), (5, 0), (10, 0)]","[5, 5, 10]",1001.0061818436001,0.0,1001.0061818436001
8,"[0, 0, 0]","[(0, 1), (5, 0), (10, 0)]","[0, 5, 10]",1000.7546363827,0.0,1000.7546363827
8,"[0, 0, 0]","[(10, 0), (0, 1), (10, 0)]","[10, -10, 10]",-198.99381815639998,Inf,Inf
8,"[0, 0, 0]","[(5, 0), (0, 1), (10, 0)]","[5, -10, 10]",-199.2453636173,Inf,Inf
8,"[0, 0, 0]","[(0, 1), (0, 1), (10, 0)]","[0, -10, 10]",-199.4969090782,Inf,Inf
8,"[0, 0, 0]","[(10, 0), (10, 0), (5, 0)]","[10, 10, 5]",1001.2577273045,0.0,1001.2577273045
8,"[0, 0, 0]","[(5, 0), (10, 0), (5, 0)]","[5, 10, 5]",1001.0061818436001,0.0,1001.0061818436001
8,"[0, 0, 0]","[(0, 1), (10, 0), (5, 0)]","[0, 10, 5]",1000.7546363827,0.0,1000.7546363827
8,"[0, 0, 0]","[(10, 0), (5, 0), (5, 0)]","[10, 5, 5]",1001.0061818436001,0.0,1001.0061818436001
8,"[0, 0, 0]","[(5, 0), (5, 0), (5, 0)]","[5, 5, 5]",1000.7546363827001,0.0,1000.7546363827001
8,"[0, 0, 0]","[(0, 1), (5, 0), (5, 0)]","[0, 5, 5]",1000.5030909218001,0.0,1000.5030909218001
8,"[0, 0, 0]","[(10, 0), (0, 1), (5, 0)]","[10, -10, 5]",-199.2453636173,Inf,Inf
8,"[0, 0, 0]","[(5, 0), (0, 1), (5, 0)]","[5, -10, 5]",-199.49690907820002,Inf,Inf
8,"[0, 0, 0]","[(0, 1), (0, 1), (5, 0)]","[0, -10, 5]",-199.7484545391,Inf,Inf
8,"[0, 0, 0]","[(10, 0), (10, 0), (0, 1)]","[10, 10, 0]",1001.0061818436,0.0,1001.0061818436
8,"[0, 0, 0]","[(5, 0), (10, 0), (0, 1)]","[5, 10, 0]",1000.7546363827,0.0,1000.7546363827
8,"[0, 0, 0]","[(0, 1), (10, 0), (0, 1)]","[0, 10, 0]",1000.5030909218,0.0,1000.5030909218
8,"[0, 0, 0]","[(10, 0), (5, 0), (0, 1)]","[10, 5, 0]",1000.7546363827,0.0,1000.7546363827
8,"[0, 0, 0]","[(5, 0), (5, 0), (0, 1)]","[5, 5, 0]",1000.5030909218001,0.0,1000.5030909218001
8,"[0, 0, 0]","[(0, 1), (5, 0), (0, 1)]","[0, 5, 0]",1000.2515454609,0.0,1000.2515454609
8,"[0, 0, 0]","[(10, 0), (0, 1), (0, 1)]","[10, -10, 0]",-199.4969090782,Inf,Inf
8,"[0, 0, 0]","[(5, 0), (0, 1), (0, 1)]","[5, -10, 0]",-199.7484545391,Inf,Inf
8,"[0, 0, 0]","[(0, 1), (0, 1), (0, 1)]","[0, -10, 0]",-200.0,Inf,Inf
8,"[0, 0, 5]","[(10, 0), (10, 0), (10, 0)]","[10, 10, 15]",1001.5092727653999,0.0,1001.5092727653999
8,"[0, 0, 5]","[(5, 0), (10, 0), (10, 0)]","[5, 10, 15]",1001.2577273045,0.0,1001.2577273045
8,"[0, 0, 5]","[(0, 1), (10, 0), (10, 0)]","[0, 10, 15]",1001.0061818436,0.0,1001.0061818436
8,"[0, 0, 5]","[(10, 0), (5, 0), (10, 0)]","[10, 5, 15]",1001.2577273045,0.0,1001.2577273045
8,"[0, 0, 5]","[(5, 0), (5, 0), (10, 0)]","[5, 5, 15]",1001.0061818436001,0.0,1001.0061818436001
8,"[0, 0, 5]","[(0, 1), (5, 0), (10, 0)]","[0, 5, 15]",1000.7546363827,0.0,1000.7546363827
8,"[0, 0, 5]","[(10, 0), (0, 1), (10, 0)]","[10, -10, 15]",-198.99381815639998,Inf,Inf
8,"[0, 0, 5]","[(5, 0), (0, 1), (10, 0)]","[5, -10, 15]",-199.2453636173,Inf,Inf
8,"[0, 0, 5]","[(0, 1), (0, 1), (10, 0)]","[0, -10, 15]",-199.4969090782,Inf,Inf
8,"[0, 0, 5]","[(10, 0), (10, 0), (5, 0)]","[10, 10, 10]",1001.2577273045,0.0,1001.2577273045
8,"[0, 0, 5]","[(5, 0), (10, 0), (5, 0)]","[5, 10, 10]",1001.0061818436001,0.0,1001.0061818436001
8,"[0, 0, 5]","[(0, 1), (10, 0), (5, 0)]","[0, 10, 10]",1000.7546363827,0.0,1000.7546363827
8,"[0, 0, 5]","[(10, 0), (5, 0), (5, 0)]","[10, 5, 10]",1001.0061818436001,0.0,1001.0061818436001
8,"[0, 0, 5]","[(5, 0), (5, 0), (5, 0)]","[5, 5, 10]",1000.7546363827001,0.0,1000.7546363827001
8,"[0, 0, 5]","[(0, 1), (5, 0), (5, 0)]","[0, 5, 10]",1000.5030909218001,0.0,1000.5030909218001
8,"[0, 0, 5]","[(10, 0), (0, 1), (5, 0)]","[10, -10, 10]",-199.2453636173,Inf,Inf
8,"[0, 0, 5]","[(5, 0), (0, 1), (5, 0)]","[5, -10, 10]",-199.49690907820002,Inf,Inf
8,"[0, 0, 5]","[(0, 1), (0, 1), (5, 0)]","[0, -10, 10]",-199.7484545391,Inf,Inf
8,"[0, 0, 5]","[(10, 0), (10, 0), (0, 1)]","[10, 10, 5]",1001.0061818436,0.0,1001.0061818436
8,"[0, 0, 5]","[(5, 0), (10, 0), (0, 1)]","[5, 10, 5]",1000.7546363827,0.0,1000.7546363827
8,"[0, 0, 5]","[(0, 1), (10, 0), (0, 1)]","[0, 10, 5]",1000.5030909218,0.0,1000.5030909218
8,"[0, 0, 5]","[(10, 0), (5, 0), (0, 1)]","[10, 5, 5]",1000.7546363827,0.0,1000.7546363827
8,"[0, 0, 5]","[(5, 0), (5, 0), (0, 1)]","[5, 5, 5]",1000.5030909218001,0.0,1000.5030909218001
8,"[0, 0, 5]","[(0, 1), (5, 0), (0, 1)]","[0, 5, 5]",1000.2515454609,0.0,1000.2515454609
8,"[0, 0, 5]","[(10, 0), (0, 1), (0, 1)]","[10, -10, 5]",-199.4969090782,Inf,Inf
8,"[0, 0, 5]","[(5, 0), (0, 1), (0, 1)]","[5, -10, 5]",-199.7484545391,Inf,Inf
8,"[0, 0, 5]","[(0, 1), (0, 1), (0, 1)]","[0, -10, 5]",-200.0,Inf,Inf
8,"[0, 0, 10]","[(10, 0), (10, 0), (10, 0)]","[10, 10, 20]",1001.5092727653999,0.0,1001.5092727653999
8,"[0, 0, 10]","[(5, 0), (10, 0), (10, 0)]","[5, 10, 20]",1001.2577273045,0.0,1001.2577273045
8,"[0, 0, 10]","[(0, 1), (10, 0), (10, 0)]","[0, 10, 20]",1001.0061818436,0.0,1001.0061818436
8,"[0, 0, 10]","[(10, 0), (5, 0), (10, 0)]","[10, 5, 20]",1001.2577273045,0.0,1001.2577273045
8,"[0, 0, 10]","[(5, 0), (5, 0), (10, 0)]","[5, 5, 20]",1001.0061818436001,0.0,1001.0061818436001
8,"[0, 0, 10]","[(0, 1), (5, 0), (10, 0)]","[0, 5, 20]",1000.7546363827,0.0,1000.7546363827
8,"[0, 0, 10]","[(10, 0), (0, 1), (10, 0)]","[10, -10, 20]",-198.99381815639998,Inf,Inf
8,"[0, 0, 10]","[(5, 0), (0, 1), (10, 0)]","[5, -10, 20]",-199.2453636173,Inf,Inf
8,"[0, 0, 10]","[(0, 1), (0, 1), (10, 0)]","[0, -10, 20]",-199.4969090782,Inf,Inf
8,"[0, 0, 10]","[(10, 0), (10, 0), (5, 0)]","[10, 10, 15]",1001.2577273045,0.0,1001.2577273045
8,"[0, 0, 10]","[(5, 0), (10, 0), (5, 0)]","[5, 10, 15]",1001.0061818436001,0.0,1001.0061818436001
8,"[0, 0, 10]","[(0, 1), (10, 0), (5, 0)]","[0, 10, 15]",1000.7546363827,0.0,1000.7546363827
8,"[0, 0, 10]","[(10, 0), (5, 0), (5, 0)]","[10, 5, 15]",1001.0061818436001,0.0,1001.0061818436001
8,"[0, 0, 10]","[(5, 0), (5, 0), (5, 0)]","[5, 5, 15]",1000.7546363827001,0.0,1000.7546363827001
8,"[0, 0, 10]","[(0, 1), (5, 0), (5, 0)]","[0, 5, 15]",1000.5030909218001,0.0,1000.5030909218001
8,"[0, 0, 10]","[(10, 0), (0, 1), (5, 0)]","[10, -10, 15]",-199.2453636173,Inf,Inf
8,"[0, 0, 10]","[(5, 0), (0, 1), (5, 0)]","[5, -10, 15]",-199.49690907820002,Inf,Inf
8,"[0, 0, 10]","[(0, 1), (0, 1), (5, 0)]","[0, -10, 15]",-199.7484545391,Inf,Inf
8,"[0, 0, 10]","[(10, 0), (10, 0), (0, 1)]","[10, 10, 10]",1001.0061818436,0.0,1001.0061818436
8,"[0, 0, 10]","[(5, 0), (10, 0), (0, 1)]","[5, 10, 10]",1000.7546363827,0.0,1000.7546363827
8,"[0, 0, 10]","[(0, 1), (10, 0), (0, 1)]","[0, 10, 10]",1000.5030909218,0.0,1000.5030909218
8,"[0, 0, 10]","[(10, 0), (5, 0), (0, 1)]","[10, 5, 10]",1000.7546363827,0.0,1000.7546363827
8,"[0, 0, 10]","[(5, 0), (5, 0), (0, 1)]","[5, 5, 10]",1000.5030909218001,0.0,1000.5030909218001
8,"[0, 0, 10]","[(0, 1), (5, 0), (0, 1)]","[0, 5, 10]",1000.2515454609,0.0,1000.2515454609
