time,state,action,new_state,total_cost
14,"[0, 0, 0]","[(5, 0), (5, 0), (5, 0)]","[5, 5, 5]",45546.56433937012
14,"[0, 0, 5]","[(5, 0), (5, 0), (5, 0)]","[5, 5, 10]",45546.56433937012
14,"[0, 0, 10]","[(5, 0), (5, 0), (0, 1)]","[5, 5, 0]",28437.70955958008
14,"[0, 0, 15]","[(5, 0), (5, 0), (0, 1)]","[5, 5, 5]",28437.70955958008
14,"[0, 0, 20]","[(5, 0), (5, 0), (0, 1)]","[5, 5, 10]",28437.70955958008
14,"[0, 5, 0]","[(5, 0), (0, 1), (5, 0)]","[5, 0, 5]",30605.20955958008
14,"[0, 5, 5]","[(5, 0), (0, 1), (5, 0)]","[5, 0, 10]",30605.20955958008
14,"[0, 5, 10]","[(5, 0), (0, 1), (0, 1)]","[5, 0, 0]",13496.35477979004
14,"[0, 5, 15]","[(5, 0), (0, 1), (0, 1)]","[5, 0, 5]",13496.35477979004
14,"[0, 5, 20]","[(5, 0), (0, 1), (0, 1)]","[5, 0, 10]",13496.35477979004
14,"[0, 10, 0]","[(5, 0), (0, 1), (5, 0)]","[5, 5, 5]",30605.20955958008
14,"[0, 10, 5]","[(5, 0), (0, 1), (5, 0)]","[5, 5, 10]",30605.20955958008
14,"[0, 10, 10]","[(5, 0), (0, 1), (0, 1)]","[5, 5, 0]",13496.35477979004
14,"[0, 10, 15]","[(5, 0), (0, 1), (0, 1)]","[5, 5, 5]",13496.35477979004
14,"[0, 10, 20]","[(5, 0), (0, 1), (0, 1)]","[5, 5, 10]",13496.35477979004
14,"[0, 15, 0]","[(5, 0), (0, 1), (5, 0)]","[5, 10, 5]",30605.20955958008
14,"[0, 15, 5]","[(5, 0), (0, 1), (5, 0)]","[5, 10, 10]",30605.20955958008
14,"[0, 15, 10]","[(5, 0), (0, 1), (0, 1)]","[5, 10, 0]",13496.35477979004
14,"[0, 15, 15]","[(5, 0), (0, 1), (0, 1)]","[5, 10, 5]",13496.35477979004
14,"[0, 15, 20]","[(5, 0), (0, 1), (0, 1)]","[5, 10, 10]",13496.35477979004
14,"[0, 20, 0]","[(5, 0), (0, 1), (5, 0)]","[5, 15, 5]",30605.20955958008
14,"[0, 20, 5]","[(5, 0), (0, 1), (5, 0)]","[5, 15, 10]",30605.20955958008
14,"[0, 20, 10]","[(5, 0), (0, 1), (0, 1)]","[5, 15, 0]",13496.35477979004
14,"[0, 20, 15]","[(5, 0), (0, 1), (0, 1)]","[5, 15, 5]",13496.35477979004
14,"[0, 20, 20]","[(5, 0), (0, 1), (0, 1)]","[5, 15, 10]",13496.35477979004
14,"[5, 0, 0]","[(5, 0), (5, 0), (5, 0)]","[10, 5, 5]",45546.56433937012
14,"[5, 0, 5]","[(5, 0), (5, 0), (5, 0)]","[10, 5, 10]",45546.56433937012
14,"[5, 0, 10]","[(5, 0), (5, 0), (0, 1)]","[10, 5, 0]",28437.70955958008
14,"[5, 0, 15]","[(5, 0), (5, 0), (0, 1)]","[10, 5, 5]",28437.70955958008
14,"[5, 0, 20]","[(5, 0), (5, 0), (0, 1)]","[10, 5, 10]",28437.70955958008
14,"[5, 5, 0]","[(5, 0), (0, 1), (5, 0)]","[10, 0, 5]",30605.20955958008
14,"[5, 5, 5]","[(5, 0), (0, 1), (5, 0)]","[10, 0, 10]",30605.20955958008
14,"[5, 5, 10]","[(5, 0), (0, 1), (0, 1)]","[10, 0, 0]",13496.35477979004
14,"[5, 5, 15]","[(5, 0), (0, 1), (0, 1)]","[10, 0, 5]",13496.35477979004
14,"[5, 5, 20]","[(5, 0), (0, 1), (0, 1)]","[10, 0, 10]",13496.35477979004
14,"[5, 10, 0]","[(5, 0), (0, 1), (5, 0)]","[10, 5, 5]",30605.20955958008
14,"[5, 10, 5]","[(5, 0), (0, 1), (5, 0)]","[10, 5, 10]",30605.20955958008
14,"[5, 10, 10]","[(5, 0), (0, 1), (0, 1)]","[10, 5, 0]",13496.35477979004
14,"[5, 10, 15]","[(5, 0), (0, 1), (0, 1)]","[10, 5, 5]",13496.35477979004
14,"[5, 10, 20]","[(5, 0), (0, 1), (0, 1)]","[10, 5, 10]",13496.35477979004
