time,state,action,new_state,total_cost
16,"[20, 10, 5]","[(0, 1), (0, 1), (0, 1)]","[10, 5, 0]",-2890.0
16,"[20, 10, 10]","[(0, 1), (0, 1), (0, 1)]","[10, 5, 5]",-2890.0
16,"[20, 10, 15]","[(0, 1), (0, 1), (0, 1)]","[10, 5, 10]",-2890.0
16,"[20, 10, 20]","[(0, 1), (0, 1), (0, 1)]","[10, 5, 15]",-2890.0
16,"[20, 15, 0]","[(0, 1), (0, 1), (5, 0)]","[10, 10, 5]",10388.921072513687
16,"[20, 15, 5]","[(0, 1), (0, 1), (0, 1)]","[10, 10, 0]",-2890.0
16,"[20, 15, 10]","[(0, 1), (0, 1), (0, 1)]","[10, 10, 5]",-2890.0
16,"[20, 15, 15]","[(0, 1), (0, 1), (0, 1)]","[10, 10, 10]",-2890.0
16,"[20, 15, 20]","[(0, 1), (0, 1), (0, 1)]","[10, 10, 15]",-2890.0
16,"[20, 20, 0]","[(0, 1), (0, 1), (5, 0)]","[10, 15, 5]",10388.921072513687
16,"[20, 20, 5]","[(0, 1), (0, 1), (0, 1)]","[10, 15, 0]",-2890.0
16,"[20, 20, 10]","[(0, 1), (0, 1), (0, 1)]","[10, 15, 5]",-2890.0
16,"[20, 20, 15]","[(0, 1), (0, 1), (0, 1)]","[10, 15, 10]",-2890.0
16,"[20, 20, 20]","[(0, 1), (0, 1), (0, 1)]","[10, 15, 15]",-2890.0
