time,state,action,new_state,cost,new_state_val,total_cost
19,"[0, 0, 0]","[(10, 0), (10, 0), (10, 0)]","[10.0, 10.0, 10.0]",72257.71141312586,0.0,72257.71141312586
19,"[0, 0, 0]","[(5, 0), (10, 0), (10, 0)]","[5.0, 10.0, 10.0]",72256.42617760488,0.0,72256.42617760488
19,"[0, 0, 0]","[(0, 1), (10, 0), (10, 0)]","[0.0, 10.0, 10.0]",72255.1409420839,0.0,72255.1409420839
19,"[0, 0, 0]","[(0, 0), (10, 0), (10, 0)]","[0.0, 10.0, 10.0]",72255.1409420839,0.0,72255.1409420839
19,"[0, 0, 0]","[(10, 0), (5, 0), (10, 0)]","[10.0, 5.0, 10.0]",72256.42617760488,0.0,72256.42617760488
19,"[0, 0, 0]","[(5, 0), (5, 0), (10, 0)]","[5.0, 5.0, 10.0]",72255.1409420839,0.0,72255.1409420839
19,"[0, 0, 0]","[(0, 1), (5, 0), (10, 0)]","[0.0, 5.0, 10.0]",72253.85570656293,0.0,72253.85570656293
19,"[0, 0, 0]","[(0, 0), (5, 0), (10, 0)]","[0.0, 5.0, 10.0]",72253.85570656293,0.0,72253.85570656293
19,"[0, 0, 0]","[(10, 0), (0, 1), (10, 0)]","[10.0, 0.0, 10.0]",72255.1409420839,0.0,72255.1409420839
19,"[0, 0, 0]","[(5, 0), (0, 1), (10, 0)]","[5.0, 0.0, 10.0]",72253.85570656293,0.0,72253.85570656293
19,"[0, 0, 0]","[(0, 1), (0, 1), (10, 0)]","[0.0, 0.0, 10.0]",72252.57047104195,0.0,72252.57047104195
19,"[0, 0, 0]","[(0, 0), (0, 1), (10, 0)]","[0.0, 0.0, 10.0]",72252.57047104195,0.0,72252.57047104195
19,"[0, 0, 0]","[(10, 0), (0, 0), (10, 0)]","[10.0, 0.0, 10.0]",72255.1409420839,0.0,72255.1409420839
19,"[0, 0, 0]","[(5, 0), (0, 0), (10, 0)]","[5.0, 0.0, 10.0]",72253.85570656293,0.0,72253.85570656293
19,"[0, 0, 0]","[(0, 1), (0, 0), (10, 0)]","[0.0, 0.0, 10.0]",72252.57047104195,0.0,72252.57047104195
19,"[0, 0, 0]","[(0, 0), (0, 0), (10, 0)]","[0.0, 0.0, 10.0]",72252.57047104195,0.0,72252.57047104195
19,"[0, 0, 0]","[(10, 0), (10, 0), (5, 0)]","[10.0, 10.0, 5.0]",72256.42617760488,0.0,72256.42617760488
19,"[0, 0, 0]","[(5, 0), (10, 0), (5, 0)]","[5.0, 10.0, 5.0]",72255.1409420839,0.0,72255.1409420839
19,"[0, 0, 0]","[(0, 1), (10, 0), (5, 0)]","[0.0, 10.0, 5.0]",72253.85570656293,0.0,72253.85570656293
19,"[0, 0, 0]","[(0, 0), (10, 0), (5, 0)]","[0.0, 10.0, 5.0]",72253.85570656293,0.0,72253.85570656293
19,"[0, 0, 0]","[(10, 0), (5, 0), (5, 0)]","[10.0, 5.0, 5.0]",72255.1409420839,0.0,72255.1409420839
19,"[0, 0, 0]","[(5, 0), (5, 0), (5, 0)]","[5.0, 5.0, 5.0]",72253.85570656293,0.0,72253.85570656293
19,"[0, 0, 0]","[(0, 1), (5, 0), (5, 0)]","[0.0, 5.0, 5.0]",72252.57047104195,0.0,72252.57047104195
19,"[0, 0, 0]","[(0, 0), (5, 0), (5, 0)]","[0.0, 5.0, 5.0]",72252.57047104195,0.0,72252.57047104195
19,"[0, 0, 0]","[(10, 0), (0, 1), (5, 0)]","[10.0, 0.0, 5.0]",72253.85570656293,0.0,72253.85570656293
19,"[0, 0, 0]","[(5, 0), (0, 1), (5, 0)]","[5.0, 0.0, 5.0]",72252.57047104195,0.0,72252.57047104195
19,"[0, 0, 0]","[(0, 1), (0, 1), (5, 0)]","[0.0, 0.0, 5.0]",72251.28523552098,0.0,72251.28523552098
19,"[0, 0, 0]","[(0, 0), (0, 1), (5, 0)]","[0.0, 0.0, 5.0]",72251.28523552098,0.0,72251.28523552098
19,"[0, 0, 0]","[(10, 0), (0, 0), (5, 0)]","[10.0, 0.0, 5.0]",72253.85570656293,0.0,72253.85570656293
19,"[0, 0, 0]","[(5, 0), (0, 0), (5, 0)]","[5.0, 0.0, 5.0]",72252.57047104195,0.0,72252.57047104195
19,"[0, 0, 0]","[(0, 1), (0, 0), (5, 0)]","[0.0, 0.0, 5.0]",72251.28523552098,0.0,72251.28523552098
19,"[0, 0, 0]","[(0, 0), (0, 0), (5, 0)]","[0.0, 0.0, 5.0]",72251.28523552098,0.0,72251.28523552098
19,"[0, 0, 0]","[(10, 0), (10, 0), (0, 1)]","[10.0, 10.0, -5.0]",-14444.859057916105,Inf,Inf
19,"[0, 0, 0]","[(5, 0), (10, 0), (0, 1)]","[5.0, 10.0, -5.0]",-14446.144293437079,Inf,Inf
19,"[0, 0, 0]","[(0, 1), (10, 0), (0, 1)]","[0.0, 10.0, -5.0]",-14447.429528958053,Inf,Inf
19,"[0, 0, 0]","[(0, 0), (10, 0), (0, 1)]","[0.0, 10.0, -5.0]",-14447.429528958053,Inf,Inf
19,"[0, 0, 0]","[(10, 0), (5, 0), (0, 1)]","[10.0, 5.0, -5.0]",-14446.144293437079,Inf,Inf
19,"[0, 0, 0]","[(5, 0), (5, 0), (0, 1)]","[5.0, 5.0, -5.0]",-14447.429528958053,Inf,Inf
19,"[0, 0, 0]","[(0, 1), (5, 0), (0, 1)]","[0.0, 5.0, -5.0]",-14448.714764479028,Inf,Inf
19,"[0, 0, 0]","[(0, 0), (5, 0), (0, 1)]","[0.0, 5.0, -5.0]",-14448.714764479028,Inf,Inf
19,"[0, 0, 0]","[(10, 0), (0, 1), (0, 1)]","[10.0, 0.0, -5.0]",-14447.429528958053,Inf,Inf
19,"[0, 0, 0]","[(5, 0), (0, 1), (0, 1)]","[5.0, 0.0, -5.0]",-14448.714764479028,Inf,Inf
19,"[0, 0, 0]","[(0, 1), (0, 1), (0, 1)]","[0.0, 0.0, -5.0]",-14450.000000000002,Inf,Inf
19,"[0, 0, 0]","[(0, 0), (0, 1), (0, 1)]","[0.0, 0.0, -5.0]",-14450.000000000002,Inf,Inf
19,"[0, 0, 0]","[(10, 0), (0, 0), (0, 1)]","[10.0, 0.0, -5.0]",-14447.429528958053,Inf,Inf
19,"[0, 0, 0]","[(5, 0), (0, 0), (0, 1)]","[5.0, 0.0, -5.0]",-14448.714764479028,Inf,Inf
19,"[0, 0, 0]","[(0, 1), (0, 0), (0, 1)]","[0.0, 0.0, -5.0]",-14450.000000000002,Inf,Inf
19,"[0, 0, 0]","[(0, 0), (0, 0), (0, 1)]","[0.0, 0.0, -5.0]",-14450.000000000002,Inf,Inf
19,"[0, 0, 0]","[(10, 0), (10, 0), (0, 0)]","[10.0, 10.0, 0.0]",72255.1409420839,0.0,72255.1409420839
19,"[0, 0, 0]","[(5, 0), (10, 0), (0, 0)]","[5.0, 10.0, 0.0]",72253.85570656293,0.0,72253.85570656293
19,"[0, 0, 0]","[(0, 1), (10, 0), (0, 0)]","[0.0, 10.0, 0.0]",72252.57047104195,0.0,72252.57047104195
19,"[0, 0, 0]","[(0, 0), (10, 0), (0, 0)]","[0.0, 10.0, 0.0]",72252.57047104195,0.0,72252.57047104195
19,"[0, 0, 0]","[(10, 0), (5, 0), (0, 0)]","[10.0, 5.0, 0.0]",72253.85570656293,0.0,72253.85570656293
19,"[0, 0, 0]","[(5, 0), (5, 0), (0, 0)]","[5.0, 5.0, 0.0]",72252.57047104195,0.0,72252.57047104195
19,"[0, 0, 0]","[(0, 1), (5, 0), (0, 0)]","[0.0, 5.0, 0.0]",72251.28523552098,0.0,72251.28523552098
19,"[0, 0, 0]","[(0, 0), (5, 0), (0, 0)]","[0.0, 5.0, 0.0]",72251.28523552098,0.0,72251.28523552098
19,"[0, 0, 0]","[(10, 0), (0, 1), (0, 0)]","[10.0, 0.0, 0.0]",72252.57047104195,0.0,72252.57047104195
19,"[0, 0, 0]","[(5, 0), (0, 1), (0, 0)]","[5.0, 0.0, 0.0]",72251.28523552098,0.0,72251.28523552098
19,"[0, 0, 0]","[(0, 1), (0, 1), (0, 0)]","[0.0, 0.0, 0.0]",72250.0,0.0,72250.0
19,"[0, 0, 0]","[(0, 0), (0, 1), (0, 0)]","[0.0, 0.0, 0.0]",72250.0,0.0,72250.0
19,"[0, 0, 0]","[(10, 0), (0, 0), (0, 0)]","[10.0, 0.0, 0.0]",72252.57047104195,0.0,72252.57047104195
19,"[0, 0, 0]","[(5, 0), (0, 0), (0, 0)]","[5.0, 0.0, 0.0]",72251.28523552098,0.0,72251.28523552098
19,"[0, 0, 0]","[(0, 1), (0, 0), (0, 0)]","[0.0, 0.0, 0.0]",72250.0,0.0,72250.0
