time,state,action,new_state,total_cost
9,"[0, 0, 0]","[(5, 0), (0, 1), (5, 0)]","[5, 0, 5]",5967.625317701511
9,"[0, 0, 5]","[(5, 0), (0, 1), (5, 0)]","[5, 0, 10]",5967.625317701511
9,"[0, 0, 10]","[(5, 0), (0, 1), (0, 1)]","[5, 0, 0]",1538.8126588507557
9,"[0, 0, 15]","[(5, 0), (0, 1), (0, 1)]","[5, 0, 5]",1538.8126588507557
9,"[0, 0, 20]","[(5, 0), (0, 1), (0, 1)]","[5, 0, 10]",1538.8126588507557
9,"[0, 5, 0]","[(5, 0), (0, 1), (5, 0)]","[5, 5, 5]",5967.625317701511
9,"[0, 5, 5]","[(5, 0), (0, 1), (5, 0)]","[5, 5, 10]",5967.625317701511
9,"[0, 5, 10]","[(5, 0), (0, 1), (0, 1)]","[5, 5, 0]",1538.8126588507557
9,"[0, 5, 15]","[(5, 0), (0, 1), (0, 1)]","[5, 5, 5]",1538.8126588507557
9,"[0, 5, 20]","[(5, 0), (0, 1), (0, 1)]","[5, 5, 10]",1538.8126588507557
9,"[0, 10, 0]","[(5, 0), (0, 1), (5, 0)]","[5, 10, 5]",5967.625317701511
9,"[0, 10, 5]","[(5, 0), (0, 1), (5, 0)]","[5, 10, 10]",5967.625317701511
9,"[0, 10, 10]","[(5, 0), (0, 1), (0, 1)]","[5, 10, 0]",1538.8126588507557
9,"[0, 10, 15]","[(5, 0), (0, 1), (0, 1)]","[5, 10, 5]",1538.8126588507557
9,"[0, 10, 20]","[(5, 0), (0, 1), (0, 1)]","[5, 10, 10]",1538.8126588507557
9,"[0, 15, 0]","[(5, 0), (0, 1), (5, 0)]","[5, 15, 5]",5967.625317701511
9,"[0, 15, 5]","[(5, 0), (0, 1), (5, 0)]","[5, 15, 10]",5967.625317701511
9,"[0, 15, 10]","[(5, 0), (0, 1), (0, 1)]","[5, 15, 0]",1538.8126588507557
9,"[0, 15, 15]","[(5, 0), (0, 1), (0, 1)]","[5, 15, 5]",1538.8126588507557
9,"[0, 15, 20]","[(5, 0), (0, 1), (0, 1)]","[5, 15, 10]",1538.8126588507557
9,"[0, 20, 0]","[(5, 0), (0, 1), (5, 0)]","[5, 20, 5]",5967.625317701511
9,"[0, 20, 5]","[(5, 0), (0, 1), (5, 0)]","[5, 20, 10]",5967.625317701511
9,"[0, 20, 10]","[(5, 0), (0, 1), (0, 1)]","[5, 20, 0]",1538.8126588507557
9,"[0, 20, 15]","[(5, 0), (0, 1), (0, 1)]","[5, 20, 5]",1538.8126588507557
9,"[0, 20, 20]","[(5, 0), (0, 1), (0, 1)]","[5, 20, 10]",1538.8126588507557
9,"[5, 0, 0]","[(5, 0), (0, 1), (5, 0)]","[10, 0, 5]",5967.625317701511
9,"[5, 0, 5]","[(5, 0), (0, 1), (5, 0)]","[10, 0, 10]",5967.625317701511
9,"[5, 0, 10]","[(5, 0), (0, 1), (0, 1)]","[10, 0, 0]",1538.8126588507557
9,"[5, 0, 15]","[(5, 0), (0, 1), (0, 1)]","[10, 0, 5]",1538.8126588507557
9,"[5, 0, 20]","[(5, 0), (0, 1), (0, 1)]","[10, 0, 10]",1538.8126588507557
9,"[5, 5, 0]","[(5, 0), (0, 1), (5, 0)]","[10, 5, 5]",5967.625317701511
9,"[5, 5, 5]","[(5, 0), (0, 1), (5, 0)]","[10, 5, 10]",5967.625317701511
9,"[5, 5, 10]","[(5, 0), (0, 1), (0, 1)]","[10, 5, 0]",1538.8126588507557
9,"[5, 5, 15]","[(5, 0), (0, 1), (0, 1)]","[10, 5, 5]",1538.8126588507557
9,"[5, 5, 20]","[(5, 0), (0, 1), (0, 1)]","[10, 5, 10]",1538.8126588507557
9,"[5, 10, 0]","[(5, 0), (0, 1), (5, 0)]","[10, 10, 5]",5967.625317701511
9,"[5, 10, 5]","[(5, 0), (0, 1), (5, 0)]","[10, 10, 10]",5967.625317701511
9,"[5, 10, 10]","[(5, 0), (0, 1), (0, 1)]","[10, 10, 0]",1538.8126588507557
9,"[5, 10, 15]","[(5, 0), (0, 1), (0, 1)]","[10, 10, 5]",1538.8126588507557
9,"[5, 10, 20]","[(5, 0), (0, 1), (0, 1)]","[10, 10, 10]",1538.8126588507557
9,"[5, 15, 0]","[(5, 0), (0, 1), (5, 0)]","[10, 15, 5]",5967.625317701511
9,"[5, 15, 5]","[(5, 0), (0, 1), (5, 0)]","[10, 15, 10]",5967.625317701511
9,"[5, 15, 10]","[(5, 0), (0, 1), (0, 1)]","[10, 15, 0]",1538.8126588507557
9,"[5, 15, 15]","[(5, 0), (0, 1), (0, 1)]","[10, 15, 5]",1538.8126588507557
9,"[5, 15, 20]","[(5, 0), (0, 1), (0, 1)]","[10, 15, 10]",1538.8126588507557
9,"[5, 20, 0]","[(5, 0), (0, 1), (5, 0)]","[10, 20, 5]",5967.625317701511
9,"[5, 20, 5]","[(5, 0), (0, 1), (5, 0)]","[10, 20, 10]",5967.625317701511
9,"[5, 20, 10]","[(5, 0), (0, 1), (0, 1)]","[10, 20, 0]",1538.8126588507557
9,"[5, 20, 15]","[(5, 0), (0, 1), (0, 1)]","[10, 20, 5]",1538.8126588507557
9,"[5, 20, 20]","[(5, 0), (0, 1), (0, 1)]","[10, 20, 10]",1538.8126588507557
9,"[10, 0, 0]","[(0, 1), (0, 1), (5, 0)]","[0, 0, 5]",1538.8126588507557
9,"[10, 0, 5]","[(0, 1), (0, 1), (5, 0)]","[0, 0, 10]",1538.8126588507557
9,"[10, 0, 10]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 0]",-2890.0
9,"[10, 0, 15]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 5]",-2890.0
9,"[10, 0, 20]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 10]",-2890.0
9,"[10, 5, 0]","[(0, 1), (0, 1), (5, 0)]","[0, 5, 5]",1538.8126588507557
9,"[10, 5, 5]","[(0, 1), (0, 1), (5, 0)]","[0, 5, 10]",1538.8126588507557
