time,state,action,new_state,total_cost
15,"[0, 0, 0]","[(5, 0), (5, 0), (0, 1)]","[5, 5, 0]",4590.418118989478
15,"[0, 0, 5]","[(5, 0), (5, 0), (0, 1)]","[5, 5, 5]",4590.418118989478
15,"[0, 0, 10]","[(5, 0), (5, 0), (0, 1)]","[5, 5, 10]",4590.418118989478
15,"[0, 0, 15]","[(5, 0), (5, 0), (0, 1)]","[5, 5, 15]",4590.418118989478
15,"[0, 0, 20]","[(5, 0), (5, 0), (0, 1)]","[5, 5, 20]",4590.418118989478
15,"[0, 5, 0]","[(5, 0), (5, 0), (0, 1)]","[5, 10, 0]",4590.418118989478
15,"[0, 5, 5]","[(5, 0), (5, 0), (0, 1)]","[5, 10, 5]",4590.418118989478
15,"[0, 5, 10]","[(5, 0), (5, 0), (0, 1)]","[5, 10, 10]",4590.418118989478
15,"[0, 5, 15]","[(5, 0), (5, 0), (0, 1)]","[5, 10, 15]",4590.418118989478
15,"[0, 5, 20]","[(5, 0), (5, 0), (0, 1)]","[5, 10, 20]",4590.418118989478
15,"[0, 10, 0]","[(5, 0), (0, 1), (0, 1)]","[5, 0, 0]",994.709059494739
15,"[0, 10, 5]","[(5, 0), (0, 1), (0, 1)]","[5, 0, 5]",994.709059494739
15,"[0, 10, 10]","[(5, 0), (0, 1), (0, 1)]","[5, 0, 10]",994.709059494739
15,"[0, 10, 15]","[(5, 0), (0, 1), (0, 1)]","[5, 0, 15]",994.709059494739
15,"[0, 10, 20]","[(5, 0), (0, 1), (0, 1)]","[5, 0, 20]",994.709059494739
15,"[0, 15, 0]","[(5, 0), (0, 1), (0, 1)]","[5, 5, 0]",994.709059494739
15,"[0, 15, 5]","[(5, 0), (0, 1), (0, 1)]","[5, 5, 5]",994.709059494739
15,"[0, 15, 10]","[(5, 0), (0, 1), (0, 1)]","[5, 5, 10]",994.709059494739
15,"[0, 15, 15]","[(5, 0), (0, 1), (0, 1)]","[5, 5, 15]",994.709059494739
15,"[0, 15, 20]","[(5, 0), (0, 1), (0, 1)]","[5, 5, 20]",994.709059494739
15,"[0, 20, 0]","[(5, 0), (0, 1), (0, 1)]","[5, 10, 0]",994.709059494739
15,"[0, 20, 5]","[(5, 0), (0, 1), (0, 1)]","[5, 10, 5]",994.709059494739
15,"[0, 20, 10]","[(5, 0), (0, 1), (0, 1)]","[5, 10, 10]",994.709059494739
15,"[0, 20, 15]","[(5, 0), (0, 1), (0, 1)]","[5, 10, 15]",994.709059494739
15,"[0, 20, 20]","[(5, 0), (0, 1), (0, 1)]","[5, 10, 20]",994.709059494739
15,"[5, 0, 0]","[(0, 1), (5, 0), (0, 1)]","[0, 5, 0]",2728.709059494739
15,"[5, 0, 5]","[(0, 1), (5, 0), (0, 1)]","[0, 5, 5]",2728.709059494739
15,"[5, 0, 10]","[(0, 1), (5, 0), (0, 1)]","[0, 5, 10]",2728.709059494739
15,"[5, 0, 15]","[(0, 1), (5, 0), (0, 1)]","[0, 5, 15]",2728.709059494739
15,"[5, 0, 20]","[(0, 1), (5, 0), (0, 1)]","[0, 5, 20]",2728.709059494739
15,"[5, 5, 0]","[(0, 1), (5, 0), (0, 1)]","[0, 10, 0]",2728.709059494739
15,"[5, 5, 5]","[(0, 1), (5, 0), (0, 1)]","[0, 10, 5]",2728.709059494739
15,"[5, 5, 10]","[(0, 1), (5, 0), (0, 1)]","[0, 10, 10]",2728.709059494739
15,"[5, 5, 15]","[(0, 1), (5, 0), (0, 1)]","[0, 10, 15]",2728.709059494739
15,"[5, 5, 20]","[(0, 1), (5, 0), (0, 1)]","[0, 10, 20]",2728.709059494739
15,"[5, 10, 0]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 0]",-867.0
15,"[5, 10, 5]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 5]",-867.0
15,"[5, 10, 10]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 10]",-867.0
15,"[5, 10, 15]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 15]",-867.0
15,"[5, 10, 20]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 20]",-867.0
15,"[5, 15, 0]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 0]",-867.0
15,"[5, 15, 5]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 5]",-867.0
15,"[5, 15, 10]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 10]",-867.0
15,"[5, 15, 15]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 15]",-867.0
15,"[5, 15, 20]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 20]",-867.0
15,"[5, 20, 0]","[(0, 1), (0, 1), (0, 1)]","[0, 10, 0]",-867.0
15,"[5, 20, 5]","[(0, 1), (0, 1), (0, 1)]","[0, 10, 5]",-867.0
15,"[5, 20, 10]","[(0, 1), (0, 1), (0, 1)]","[0, 10, 10]",-867.0
15,"[5, 20, 15]","[(0, 1), (0, 1), (0, 1)]","[0, 10, 15]",-867.0
15,"[5, 20, 20]","[(0, 1), (0, 1), (0, 1)]","[0, 10, 20]",-867.0
15,"[10, 0, 0]","[(0, 1), (5, 0), (0, 1)]","[5, 5, 0]",2728.709059494739
15,"[10, 0, 5]","[(0, 1), (5, 0), (0, 1)]","[5, 5, 5]",2728.709059494739
15,"[10, 0, 10]","[(0, 1), (5, 0), (0, 1)]","[5, 5, 10]",2728.709059494739
15,"[10, 0, 15]","[(0, 1), (5, 0), (0, 1)]","[5, 5, 15]",2728.709059494739
