time,average_price
8,50.30909218
9,64.92225526
10,82.33366363
11,694.4449129
12,7099.23935
13,7109.451245
14,8840.03791
15,8837.997197
16,7689.564756
17,3648.639963
18,691.2777867
19,88.94363467
