Time,Scenario,Price
8,1,47.46788248697914
9,1,59.887126436781585
10,1,78.26193750000003
11,1,101.85131080227421
12,1,10000.0
13,1,10000.0
14,1,10000.0
15,1,10000.0
16,1,10000.0
17,1,10000.0
18,1,164.89174834429306
19,1,103.7580616244793
8,2,44.02777636718748
9,2,55.365333485373895
10,2,65.27833835341366
11,2,78.79354838709679
12,2,116.19949504057709
13,2,180.24755891938273
14,2,10000.0
15,2,10000.0
16,2,10000.0
17,2,164.89174834429306
18,2,101.85131080227421
19,2,90.51506578937006
8,3,55.820069001207514
9,3,74.49894445163237
10,3,101.51473753261288
11,3,10000.0
12,3,10000.0
13,3,10000.0
14,3,10000.0
15,3,10000.0
16,3,10000.0
17,3,10000.0
18,3,142.35277963186667
19,3,99.70355703938435
8,4,53.41405863662372
9,4,71.43885995370375
10,4,81.17020739404875
11,4,122.06682098765431
12,4,10000.0
13,4,10000.0
14,4,10000.0
15,4,10000.0
16,4,237.88459485018393
17,4,120.15476677143283
18,4,101.22347198399088
19,4,84.85487204508577
8,5,42.64842930498264
9,5,55.069013428930774
10,5,55.52025215461514
11,5,93.32000000000016
12,5,180.24755891938273
13,5,180.24755891938273
14,5,10000.0
15,5,10000.0
16,5,10000.0
17,5,180.24755891938273
18,5,90.73510867665051
19,5,81.18371022613566
8,6,49.820952137102104
9,6,63.20999999999999
10,6,82.91168810748995
11,6,99.70355703938435
12,6,10000.0
13,6,10000.0
14,6,10000.0
15,6,10000.0
16,6,10000.0
17,6,135.72411683195654
18,6,100.60892857142855
19,6,82.9824405482378
8,7,55.76151193633956
9,7,78.79354838709679
10,7,91.19575156249992
11,7,180.24755891938273
12,7,10000.0
13,7,10000.0
14,7,10000.0
15,7,10000.0
16,7,10000.0
17,7,180.24755891938273
18,7,105.08006868131865
19,7,84.27322657751252
8,8,57.42446667002568
9,8,70.88400000000001
10,8,101.4684146399059
11,8,154.03742245347212
12,8,10000.0
13,8,10000.0
14,8,10000.0
15,8,10000.0
16,8,10000.0
17,8,10000.0
18,8,10000.0
19,8,125.93834380950429
8,9,50.043386084401696
9,9,64.21542600383503
10,9,85.86904593232073
11,9,102.83312316687065
12,9,164.89174834429306
13,9,10000.0
14,9,10000.0
15,9,10000.0
16,9,10000.0
17,9,129.75285171102655
18,9,101.51473753261288
19,9,85.06364760313583
8,10,49.15636813777311
9,10,70.88400000000001
10,10,81.17020739404875
11,10,91.02564125200452
12,10,115.97744710418404
13,10,101.4684146399059
14,10,115.75271977378179
15,10,116.19949504057709
16,10,99.69640860049998
17,10,82.5997815021725
18,10,80.86127223201407
19,10,71.0450875576037
8,11,53.54369428479984
9,11,70.02039324072332
10,11,87.96888888888907
11,11,129.75285171102655
12,11,10000.0
13,11,10000.0
14,11,10000.0
15,11,10000.0
16,11,10000.0
17,11,536.5331986844321
18,11,105.4682809685812
19,11,91.87463547508416
8,12,50.043386084401696
9,12,56.99404081632656
10,12,71.84735597319492
11,12,103.90092862828337
12,12,10000.0
13,12,10000.0
14,12,10000.0
15,12,10000.0
16,12,10000.0
17,12,10000.0
18,12,110.37469512195125
19,12,86.3427056962025
8,13,53.191055236489035
9,13,60.30576784797121
10,13,73.7627302510998
11,13,102.83312316687065
12,13,10000.0
13,13,10000.0
14,13,10000.0
15,13,10000.0
16,13,10000.0
17,13,10000.0
18,13,105.4682809685812
19,13,90.73510867665051
8,14,51.718317307692324
9,14,69.8479089889441
10,14,97.99613225880199
11,14,142.35277963186667
12,14,10000.0
13,14,281.10589281697526
14,14,10000.0
15,14,10000.0
16,14,281.10589281697526
17,14,281.10589281697526
18,14,107.21542685971045
19,14,84.27322657751252
8,15,46.398437716275794
9,15,58.83454574587404
10,15,83.92929216867469
11,15,107.21542685971045
12,15,10000.0
13,15,10000.0
14,15,10000.0
15,15,10000.0
16,15,10000.0
17,15,129.75285171102655
18,15,102.32653353800609
19,15,81.39135220125793
8,16,49.15636813777311
9,16,59.214004629629606
10,16,81.17020739404875
11,16,111.43042031249996
12,16,10000.0
13,16,10000.0
14,16,10000.0
15,16,10000.0
16,16,10000.0
17,16,10000.0
18,16,154.03742245347212
19,16,101.22347198399088
8,17,45.6184075153972
9,17,64.21542600383503
10,17,78.63709418643049
11,17,84.19900674151378
12,17,109.75269578313251
13,17,117.60174534105415
14,17,164.89174834429306
15,17,129.75285171102655
16,17,103.91395683453229
17,17,85.86904593232073
18,17,77.71230756358773
19,17,66.88327595041476
