time,state,new_state,total_cost_opt
8,"[15, 10, 5]","[15, 0, 5]",-1955.5293027580833
8,"[15, 10, 10]","[15, 0, 10]",-1956.7190241975218
8,"[15, 10, 15]","[15, 0, 15]",-1957.90874563696
8,"[15, 10, 20]","[15, 0, 20]",-1959.0984670763983
8,"[15, 15, 0]","[15, 5, 0]",-1955.7808976090141
8,"[15, 15, 5]","[15, 5, 5]",-1956.7190241975218
8,"[15, 15, 10]","[15, 5, 10]",-1957.90874563696
8,"[15, 15, 15]","[15, 5, 15]",-1959.0984670763983
8,"[15, 15, 20]","[15, 5, 20]",-1960.2881885158365
8,"[15, 20, 0]","[15, 10, 0]",-1956.9706190484524
8,"[15, 20, 5]","[15, 10, 5]",-1957.90874563696
8,"[15, 20, 10]","[15, 10, 10]",-1959.0984670763983
8,"[15, 20, 15]","[15, 10, 15]",-1960.2881885158365
8,"[15, 20, 20]","[15, 10, 20]",-3694.2881885158367
8,"[20, 0, 0]","[20, 0, 0]",1503.4198598125836
8,"[20, 0, 5]","[20, 0, 5]",1502.481733224076
8,"[20, 0, 10]","[20, 0, 10]",1501.2920117846375
8,"[20, 0, 15]","[20, 0, 15]",1500.1022903451992
8,"[20, 0, 20]","[20, 0, 20]",1498.912568905761
8,"[20, 5, 0]","[20, 5, 0]",1502.230138373145
8,"[20, 5, 5]","[20, 5, 5]",1501.2920117846375
8,"[20, 5, 10]","[20, 5, 10]",1500.1022903451992
8,"[20, 5, 15]","[20, 5, 15]",1498.912568905761
8,"[20, 5, 20]","[20, 5, 20]",1497.7228474663227
8,"[20, 10, 0]","[20, 0, 0]",-1964.5801401874164
8,"[20, 10, 5]","[20, 0, 5]",-1965.518266775924
8,"[20, 10, 10]","[20, 0, 10]",-1966.7079882153625
8,"[20, 10, 15]","[20, 0, 15]",-1967.8977096548008
8,"[20, 10, 20]","[20, 0, 20]",-1969.087431094239
8,"[20, 15, 0]","[20, 5, 0]",-1965.769861626855
8,"[20, 15, 5]","[20, 5, 5]",-1966.7079882153625
8,"[20, 15, 10]","[20, 5, 10]",-1967.8977096548008
8,"[20, 15, 15]","[20, 5, 15]",-1969.087431094239
8,"[20, 15, 20]","[20, 5, 20]",-1970.2771525336773
8,"[20, 20, 0]","[20, 10, 0]",-1966.9595830662931
8,"[20, 20, 5]","[20, 10, 5]",-1967.8977096548008
8,"[20, 20, 10]","[20, 10, 10]",-1969.087431094239
8,"[20, 20, 15]","[20, 10, 15]",-1970.2771525336773
8,"[20, 20, 20]","[20, 10, 20]",-3704.2771525336775
9,"[0, 0, 0]","[0, 0, 5]",-1068.691588467709
9,"[0, 0, 5]","[0, 0, 5]",-1069.6297150562166
9,"[0, 0, 10]","[0, 0, 10]",-1070.819436495655
9,"[0, 0, 15]","[0, 0, 15]",-1072.0091579350933
9,"[0, 0, 20]","[0, 0, 20]",-1073.0513174829032
9,"[0, 5, 0]","[0, 5, 5]",-1069.8813099071474
9,"[0, 5, 5]","[0, 5, 5]",-1070.819436495655
9,"[0, 5, 10]","[0, 5, 10]",-1072.0091579350933
9,"[0, 5, 15]","[0, 5, 15]",-1073.1988793745315
9,"[0, 5, 20]","[0, 5, 20]",-1074.2410389223414
9,"[0, 10, 0]","[0, 10, 5]",-1071.0710313465856
9,"[0, 10, 5]","[0, 10, 5]",-1072.0091579350933
9,"[0, 10, 10]","[0, 10, 10]",-1073.1988793745315
9,"[0, 10, 15]","[0, 10, 15]",-1074.3886008139698
9,"[0, 10, 20]","[0, 10, 20]",-2808.2410389223414
9,"[0, 15, 0]","[0, 15, 5]",-1071.0710313465856
9,"[0, 15, 5]","[0, 15, 5]",-1072.0091579350933
9,"[0, 15, 10]","[0, 15, 10]",-1073.1988793745315
9,"[0, 15, 15]","[0, 15, 15]",-1074.3886008139698
9,"[0, 15, 20]","[0, 15, 20]",-2808.2410389223414
9,"[0, 20, 0]","[0, 20, 5]",-1071.0710313465856
9,"[0, 20, 5]","[0, 20, 5]",-1072.0091579350933
9,"[0, 20, 10]","[0, 20, 10]",-1073.1988793745315
9,"[0, 20, 15]","[0, 20, 15]",-1074.3886008139698
9,"[0, 20, 20]","[0, 20, 20]",-2808.2410389223414
9,"[5, 0, 0]","[5, 0, 5]",-1171.42315896275
9,"[5, 0, 5]","[5, 0, 5]",-1172.3612855512577
9,"[5, 0, 10]","[5, 0, 10]",-1173.5510069906961
9,"[5, 0, 15]","[5, 0, 15]",-1174.7407284301344
9,"[5, 0, 20]","[5, 0, 20]",-1175.635326086316
9,"[5, 5, 0]","[5, 5, 5]",-1172.6128804021885
9,"[5, 5, 5]","[5, 5, 5]",-1173.5510069906961
9,"[5, 5, 10]","[5, 5, 10]",-1174.7407284301344
9,"[5, 5, 15]","[5, 5, 15]",-1175.9304498695726
9,"[5, 5, 20]","[5, 5, 20]",-1176.8250475257541
9,"[5, 10, 0]","[5, 10, 5]",-1173.8026018416267
9,"[5, 10, 5]","[5, 10, 5]",-1174.7407284301344
9,"[5, 10, 10]","[5, 10, 10]",-1175.9304498695726
9,"[5, 10, 15]","[5, 10, 15]",-1177.1201713090109
9,"[5, 10, 20]","[5, 10, 20]",-2910.825047525754
9,"[5, 15, 0]","[5, 15, 5]",-1173.8026018416267
9,"[5, 15, 5]","[5, 15, 5]",-1174.7407284301344
9,"[5, 15, 10]","[5, 15, 10]",-1175.9304498695726
9,"[5, 15, 15]","[5, 15, 15]",-1177.1201713090109
9,"[5, 15, 20]","[5, 15, 20]",-2910.825047525754
9,"[5, 20, 0]","[5, 20, 5]",-1173.8026018416267
9,"[5, 20, 5]","[5, 20, 5]",-1174.7407284301344
9,"[5, 20, 10]","[5, 20, 10]",-1175.9304498695726
9,"[5, 20, 15]","[5, 20, 15]",-1177.1201713090109
9,"[5, 20, 20]","[5, 20, 20]",-2910.825047525754
9,"[10, 0, 0]","[10, 0, 5]",-1274.0071675661627
9,"[10, 0, 5]","[10, 0, 5]",-1274.9452941546704
9,"[10, 0, 10]","[10, 0, 10]",-1276.1350155941088
9,"[10, 0, 15]","[10, 0, 15]",-1277.324737033547
9,"[10, 0, 20]","[10, 0, 20]",-1278.366896581357
9,"[10, 5, 0]","[10, 5, 5]",-1275.1968890056012
9,"[10, 5, 5]","[10, 5, 5]",-1276.1350155941088
9,"[10, 5, 10]","[10, 5, 10]",-1277.324737033547
9,"[10, 5, 15]","[10, 5, 15]",-1278.5144584729853
9,"[10, 5, 20]","[10, 5, 20]",-1279.5566180207952
9,"[10, 10, 0]","[10, 10, 5]",-1276.3866104450394
9,"[10, 10, 5]","[10, 10, 5]",-1277.324737033547
9,"[10, 10, 10]","[10, 10, 10]",-1278.5144584729853
9,"[10, 10, 15]","[10, 10, 15]",-1279.7041799124236
9,"[10, 10, 20]","[10, 10, 20]",-3013.556618020795
