state,total_cost,Count,
"[0, 0, 0]",1755.398188,1,44
"[0, 0, 5]",1701.485619,1,
"[0, 0, 10]",3220.282872,1,
"[0, 0, 15]",1670.19171,1,
"[0, 0, 20]",2342.058422,1,
"[0, 5, 0]",2416.040449,1,
"[0, 5, 5]",2362.12788,1,
"[0, 5, 10]",2352.093151,1,
"[0, 5, 15]",1475.058422,1,
"[0, 5, 20]",1475.058422,1,
"[0, 10, 0]",-1.050713325,0,
"[0, 10, 5]",-63.80828978,0,
"[0, 10, 10]",608.058422,1,
"[0, 10, 15]",-940.8430188,0,
"[0, 10, 20]",-1043.427027,0,
"[0, 15, 0]",-1.050713325,0,
"[0, 15, 5]",-63.80828978,0,
"[0, 15, 10]",608.058422,1,
"[0, 15, 15]",-940.8430188,0,
"[0, 15, 20]",-1043.427027,0,
"[0, 20, 0]",-1.050713325,0,
"[0, 20, 5]",-63.80828978,0,
"[0, 20, 10]",608.058422,1,
"[0, 20, 15]",-940.8430188,0,
"[0, 20, 20]",-1043.427027,0,
"[5, 0, 0]",1539.051485,1,
"[5, 0, 5]",2343.293908,1,
"[5, 0, 10]",2342.104187,1,
"[5, 0, 15]",1465.069458,1,
"[5, 0, 20]",1455.034729,1,
"[5, 5, 0]",670.8617634,1,
"[5, 5, 5]",1475.104187,1,
"[5, 5, 10]",2332.069458,1,
"[5, 5, 15]",598.069458,1,
"[5, 5, 20]",588.034729,1,
"[5, 10, 0]",-206.1729656,0,
"[5, 10, 5]",-268.930542,0,
"[5, 10, 10]",-268.930542,0,
"[5, 10, 15]",-1920.415991,0,
"[5, 10, 20]",-2023,0,
"[5, 15, 0]",-206.1729656,0,
"[5, 15, 5]",-268.930542,0,
"[5, 15, 10]",-268.930542,0,
"[5, 15, 15]",-1920.415991,0,
"[5, 15, 20]",-2023,0,
"[5, 20, 0]",-206.1729656,0,
"[5, 20, 5]",-268.930542,0,
"[5, 20, 10]",-268.930542,0,
"[5, 20, 15]",-1920.415991,0,
"[5, 20, 20]",-2023,0,
"[10, 0, 0]",2396.016756,1,
"[10, 0, 5]",1466.259179,1,
"[10, 0, 10]",1465.069458,1,
"[10, 0, 15]",588.034729,1,
"[10, 0, 20]",578,1,
"[10, 5, 0]",1527.827034,1,
"[10, 5, 5]",598.069458,1,
"[10, 5, 10]",1465.069458,1,
"[10, 5, 15]",-278.965271,0,
"[10, 5, 20]",-289,0,
"[10, 10, 0]",650.7923055,1,
"[10, 10, 5]",-1135.930542,0,
"[10, 10, 10]",-1145.965271,0,
"[10, 10, 15]",-2890,0,
"[10, 10, 20]",-2890,0,
"[10, 15, 0]",650.7923055,1,
"[10, 15, 5]",-1135.930542,0,
"[10, 15, 10]",-1145.965271,0,
"[10, 15, 15]",-2890,0,
"[10, 15, 20]",-2890,0,
"[10, 20, 0]",650.7923055,1,
"[10, 20, 5]",-1135.930542,0,
"[10, 20, 10]",-1145.965271,0,
"[10, 20, 15]",-2890,0,
"[10, 20, 20]",-2890,0,
"[15, 0, 0]",1518.982027,1,
"[15, 0, 5]",589.2244504,1,
"[15, 0, 10]",588.034729,1,
"[15, 0, 15]",-289,0,
"[15, 0, 20]",-289,0,
"[15, 5, 0]",650.7923055,1,
"[15, 5, 5]",-278.965271,0,
"[15, 5, 10]",588.034729,1,
"[15, 5, 15]",-1156,0,
"[15, 5, 20]",-1156,0,
"[15, 10, 0]",-226.2424235,0,
"[15, 10, 5]",-2012.965271,0,
"[15, 10, 10]",-2023,0,
"[15, 10, 15]",-3757,0,
"[15, 10, 20]",-3757,0,
"[15, 15, 0]",-226.2424235,0,
"[15, 15, 5]",-2012.965271,0,
"[15, 15, 10]",-2023,0,
"[15, 15, 15]",-3757,0,
"[15, 15, 20]",-3757,0,
"[15, 20, 0]",-226.2424235,0,
"[15, 20, 5]",-2012.965271,0,
"[15, 20, 10]",-2023,0,
"[15, 20, 15]",-3757,0,
"[15, 20, 20]",-3757,0,
"[20, 0, 0]",1518.982027,1,
"[20, 0, 5]",589.2244504,1,
"[20, 0, 10]",588.034729,1,
"[20, 0, 15]",-289,0,
"[20, 0, 20]",-289,0,
"[20, 5, 0]",650.7923055,1,
"[20, 5, 5]",-278.965271,0,
"[20, 5, 10]",578,1,
"[20, 5, 15]",-1156,0,
"[20, 5, 20]",-1156,0,
"[20, 10, 0]",-226.2424235,0,
"[20, 10, 5]",-2023,0,
"[20, 10, 10]",-2023,0,
"[20, 10, 15]",-3757,0,
"[20, 10, 20]",-3757,0,
"[20, 15, 0]",-226.2424235,0,
"[20, 15, 5]",-2023,0,
"[20, 15, 10]",-2023,0,
"[20, 15, 15]",-3757,0,
"[20, 15, 20]",-3757,0,
"[20, 20, 0]",-226.2424235,0,
"[20, 20, 5]",-2023,0,
"[20, 20, 10]",-2023,0,
"[20, 20, 15]",-3757,0,
"[20, 20, 20]",-3757,0,
